post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47687273,The Git Commands I Run Before Reading Any Code,technology,135,31,grepsedawk,2026-04-08 11:04:22,0.22794117647058823,False
47686549,Veracrypt Project Update,others,347,92,super256,2026-04-08 11:04:22,0.26436781609195403,True
47685739,Revision Demoparty 2026: Razor1911 [video],others,193,72,tetrisgm,2026-04-08 11:04:22,0.3711340206185567,True
47687533,I've Sold Out,others,44,7,doppp,2026-04-08 11:04:22,0.15555555555555556,False
47679121,Project Glasswing: Securing critical software for the AI era,technology,1315,654,Ryan5453,2026-04-08 11:04:22,0.4969604863221885,True
47657204,Show HN: We built a camera only robot vacuum for less than 300$ (Well almost),entertainment,38,5,indraneelpatil,2026-04-08 11:04:22,0.1282051282051282,False
47676509,Lunar Flyby,others,739,182,kipi,2026-04-08 11:04:22,0.24594594594594596,True
47656518,Your File System Is Already A Graph Database,technology,19,2,alxndr,2026-04-08 11:04:22,0.1,False
47684514,Protect your shed,others,178,51,baely,2026-04-08 11:04:23,0.2849162011173184,True
47679258,System Card: Claude Mythos Preview [pdf],others,715,513,be7a,2026-04-08 11:04:23,0.7164804469273743,True
47622436,Slightly safer vibecoding by adopting old hacker habits,others,116,63,transpute,2026-04-08 11:04:23,0.5384615384615384,False
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,540,221,zixuanlimit,2026-04-08 11:04:23,0.40850277264325324,True
47634422,Native Americans had dice 12k years ago,others,73,29,delichon,2026-04-08 11:04:23,0.3918918918918919,False
47650887,How to get better at guitar,others,346,174,jwworth,2026-04-08 11:04:23,0.5014409221902018,True
47678573,Cambodia unveils statue to honour famous landmine-sniffing rat,others,400,92,speckx,2026-04-08 11:04:23,0.22942643391521197,True
47680404,S3 Files,others,309,91,werner,2026-04-08 11:04:23,0.29354838709677417,True
47657268,A truck driver spent 20 years making a scale model of every building in NYC,others,340,55,1659447091,2026-04-08 11:04:24,0.16129032258064516,True
47681112,Show HN: An interactive map of Tolkien's Middle-earth,entertainment,212,41,frasermarlow,2026-04-08 11:04:24,0.19248826291079812,True
47653642,Binary obfuscation used in AAA Games,sports,100,42,noztol,2026-04-08 11:04:24,0.4158415841584158,False
47624572,A database of analog cameras that can be 3D printed,technology,109,15,thomasjb,2026-04-08 11:04:24,0.13636363636363635,False
47675625,Cloudflare targets 2029 for full post-quantum security,technology,337,102,ilreb,2026-04-08 11:04:24,0.30177514792899407,True
47682276,US and Iran agree to provisional ceasefire,others,499,1472,g-b-r,2026-04-08 11:04:24,2.944,True
47637665,The Clock,others,76,29,senko,2026-04-08 11:04:24,0.37662337662337664,False
47643326,Hobby CNC machining and resin casting (2015),others,14,4,achierius,2026-04-08 11:04:24,0.26666666666666666,False
47682719,Xilem – An experimental Rust native UI framework,others,103,37,Levitating,2026-04-08 11:04:24,0.3557692307692308,False
47677885,Rescuing old printers with an in-browser Linux VM bridged to WebUSB over USB/IP,others,203,86,gmac,2026-04-08 11:04:24,0.4215686274509804,True
47683376,JSIR: A High-Level IR for JavaScript,others,59,15,nnx,2026-04-08 11:04:25,0.25,False
47680309,Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,entertainment,183,24,MediaSquirrel,2026-04-08 11:04:25,0.13043478260869565,True
47654626,A whole boss fight in 256 bytes,others,112,45,HellMood,2026-04-08 11:04:25,0.39823008849557523,False
47627217,Running out of disk space in production,science,207,116,romes,2026-04-08 11:04:25,0.5576923076923077,True
47687248,Škoda DuoBell: A bicycle bell that penetrates noise-cancelling headphones,others,121,170,ra,2026-04-08 11:04:25,1.3934426229508197,False
47685685,Acoustic Eavesdropping with Telecom Fiber Optic Cables,others,11,0,Chaucer,2026-04-08 11:04:25,0.0,False
47675213,Google open-sources experimental agent orchestration testbed Scion,others,210,54,timbilt,2026-04-08 11:04:25,0.2559241706161137,True
47658104,The Image Boards of Hayao Miyazaki,others,185,16,vinhnx,2026-04-08 11:04:25,0.08602150537634409,True
47659135,Sam Altman may control our future – can he be trusted?,others,2021,853,adrianhon,2026-04-08 11:04:25,0.4218595450049456,True
47681274,Bitcoin and quantum computing,others,151,110,nehan,2026-04-08 11:04:25,0.7236842105263158,False
